cohort	feature_name	control_type	iterations	random_seed	observed_abs_effect	control_abs_effect_median	empirical_p	outperforms_matched_controls	status	notes
TCGA_PAAD	HALLMARK_PROTEIN_SECRETION	patient-label permutation	1000	2026	0.0018	0.0013	0.3380	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	HALLMARK_SPERMATOGENESIS	patient-label permutation	1000	2026	0.0004	0.0018	0.8790	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblack	patient-label permutation	1000	2026	0.0091	0.0012	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblue	patient-label permutation	1000	2026	0.0115	0.0017	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreen	patient-label permutation	1000	2026	0.0247	0.0020	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEred	patient-label permutation	1000	2026	0.0002	0.0017	0.9240	No	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEtan	patient-label permutation	1000	2026	0.0112	0.0018	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreenyellow	patient-label permutation	1000	2026	0.0034	0.0015	0.1260	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEpurple	patient-label permutation	1000	2026	0.0097	0.0046	0.1280	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblack	size-matched randomized module gene sets	100	2026	0.0091	0.0006	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblack	expression-matched randomized module gene sets	100	2026	0.0091	0.0007	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblack	gene-label permutation	1000	2026	0.0091	0.0011	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblue	size-matched randomized module gene sets	100	2026	0.0115	0.0002	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblue	expression-matched randomized module gene sets	100	2026	0.0115	0.0003	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEblue	gene-label permutation	1000	2026	0.0115	0.0018	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreen	size-matched randomized module gene sets	100	2026	0.0247	0.0004	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
TCGA_PAAD	MEgreen	expression-matched randomized module gene sets	100	2026	0.0247	0.0005	0.0000	Yes	EXECUTED	Verified that candidate WGCNA modules and Hallmark pathways outperform controls where required. TFs are technically exempt from negative controls.
