feature_name	penalty_type	penalty_applied	penalty_points	locked_rule_source	reason	reviewer_verification
HALLMARK_PROTEIN_SECRETION	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
HALLMARK_SPERMATOGENESIS	cell_type_specificity	True	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_PENALTY_APPLIED_CORRECTLY
HALLMARK_SPERMATOGENESIS	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEblack	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEblue	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEgreen	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEtan	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEgreenyellow	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEpurple	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
MEred	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
BHLHE40	cell_type_specificity	True	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_PENALTY_APPLIED_CORRECTLY
BHLHE40	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
CTCFL	cell_type_specificity	True	-2	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_PENALTY_APPLIED_CORRECTLY
CTCFL	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
Ochrobactrum	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
Staphylococcus	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
Lysobacter	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
Brevundimonas	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
Paraburkholderia	literature_rescue	False	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_PENALTY_APPLIED_CORRECTLY
