feature_name	feature_type	discovery_evidence	bulk_evidence	sc_evidence	spatial_evidence	phase10a_inventory_category	derived_synthesis_category	category_matches_phase10a_inventory	hierarchy_rank	cross_layer_evidence_score	promotion_allowed_by_locked_rules	included_in_phase10br_scoring	notes
HALLMARK_PROTEIN_SECRETION	PATHWAY_OR_PROCESS	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	MALIGNANT_CELL_INTRINSIC_SUPPORT	PARTIAL_SPATIAL_SUPPORT	MULTI_LAYER_SUPPORTED	MULTI_LAYER_SUPPORTED	TRUE	1	10	TRUE	TRUE	Malignant-compartment spatial enrichment. Basal-classical axis not replicated.
BHLHE40	GENE_SYMBOL	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	PARTIALLY_REPLICATED	TRUE	2	9	TRUE	TRUE	
CTCFL	GENE_SYMBOL	ROBUST_HOST_MECHANISM	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	PARTIALLY_REPLICATED	TRUE	2	9	TRUE	TRUE	
HALLMARK_SPERMATOGENESIS	PATHWAY_OR_PROCESS	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	INSUFFICIENT_SPATIAL_DATA	PARTIALLY_REPLICATED	PARTIALLY_REPLICATED	TRUE	2	9	TRUE	TRUE	
Ochrobactrum	MICROBIAL_TAXON	ROBUST_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	DISCOVERY_ONLY	DISCOVERY_ONLY	TRUE	3	8	TRUE	TRUE	Only taxon with robust host-mechanism associations. Microbial presence/localization/interaction/causality not validated.
Lysobacter	MICROBIAL_TAXON	METHOD_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	METHOD_SENSITIVE	METHOD_SENSITIVE	TRUE	4	7	TRUE	TRUE	
Brevundimonas	MICROBIAL_TAXON	CONTAMINATION_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	CONTAMINATION_SENSITIVE	CONTAMINATION_SENSITIVE	TRUE	6	5	TRUE	TRUE	
MEpurple	WGCNA_MODULE	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	NOT_EXTERNALLY_SUPPORTED	TRUE	7	4	TRUE	TRUE	
MEred	WGCNA_MODULE	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	NOT_EXTERNALLY_SUPPORTED	TRUE	7	4	TRUE	TRUE	
MEblack	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	INSUFFICIENT_DATA	TRUE	8	3	FALSE	TRUE	Ineligible module.
MEblue	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	INSUFFICIENT_DATA	TRUE	8	3	FALSE	TRUE	Ineligible module.
MEgreen	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	INSUFFICIENT_DATA	TRUE	8	3	FALSE	TRUE	Ineligible module.
MEgreenyellow	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	INSUFFICIENT_DATA	TRUE	8	3	FALSE	TRUE	Ineligible module.
MEtan	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	INSUFFICIENT_DATA	TRUE	8	3	FALSE	TRUE	Ineligible module.
Staphylococcus	MICROBIAL_TAXON	SUGGESTIVE_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	EXPLORATORY_ONLY	EXPLORATORY_ONLY	TRUE	9	2	TRUE	TRUE	
Paraburkholderia	MICROBIAL_TAXON	NO_SUPPORTED_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_SUPPORTED_ASSOCIATION	NO_SUPPORTED_ASSOCIATION	TRUE	10	1	TRUE	TRUE	
