feature_name	criterion	criterion_status	positive_points	penalty_points	evidence_source	note	reviewer_verification
HALLMARK_PROTEIN_SECRETION	external_replication	PASS_LOCKED_EVIDENCE_CATEGORY	3	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=MULTI_LAYER_SUPPORTED	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	cell_type_specificity	PASS_MALIGNANT_CELL_INTRINSIC	2	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	CELL_COMPOSITION_EXPLAINED is not treated as true cell-type specificity.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	druggability	UNKNOWN_NO_REPRODUCIBLE_OPENTARGETS_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tractability values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	tumor_versus_normal_selectivity	UNKNOWN_NO_REPRODUCIBLE_GTEX_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded tumor-vs-normal values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	existing_compounds	UNKNOWN_NO_REPRODUCIBLE_CHEMBL_EVIDENCE	0	0	05_results/tables/phase10br_external_database_query_audit.tsv	No hardcoded compound values are used.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	genetic_dependency	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	pathway_position	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	safety_essentiality_concerns	UNKNOWN_NO_LOCKED_QUANTITATIVE_INPUT	0	0	05_results/tables/phase10a_target_prioritization_framework.tsv	Criterion retained from locked framework; no reproducible Phase 10B-R input table available.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_PROTEIN_SECRETION	literature_rescue	PROHIBITED_BY_PHASE10A_PARAMETER	0	0	01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	Literature support cannot add points or override weak/composition-sensitive evidence.	VERIFIED_LOCKED_RULE_APPLICATION
HALLMARK_SPERMATOGENESIS	external_replication	PASS_LOCKED_EVIDENCE_CATEGORY	3	0	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv	derived_synthesis_category=PARTIALLY_REPLICATED	VERIFIED_LOCKED_RULE_APPLICATION
