dataset_id	TF	regulon_targets_expected	targets_present	coverage_fraction	eligibility	confidence_levels	scoring_method	activity_calculation_status
"PENG_CRA001160"	"BHLHE40"	58	56	0.96551724137931	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"CTCFL"	54	50	0.925925925925926	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"E2F6"	69	67	0.971014492753623	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ELF1"	51	48	0.941176470588235	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"GRHL2"	79	74	0.936708860759494	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"IRF3"	74	65	0.878378378378378	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"JUNB"	52	52	1	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"KLF1"	51	46	0.901960784313725	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"KLF13"	31	30	0.967741935483871	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"KLF9"	68	66	0.970588235294118	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"MBD1"	44	43	0.977272727272727	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"MBD2"	32	28	0.875	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"MNT"	56	54	0.964285714285714	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"MXI1"	77	71	0.922077922077922	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"OTX2"	24	23	0.958333333333333	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"SIX5"	25	24	0.96	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"SNAI2"	66	62	0.939393939393939	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"SNAPC4"	30	30	1	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"TFAP4"	40	39	0.975	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"TP63"	19	19	1	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ZBED1"	22	22	1	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ZBTB7A"	90	86	0.955555555555556	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ZNF24"	20	20	1	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ZNF384"	66	63	0.954545454545455	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
"PENG_CRA001160"	"ZNF740"	38	36	0.947368421052632	"ELIGIBLE"	"A;B;C"	"decoupleR::run_viper DoRothEA regulons; no TF expression proxy"	"EXECUTED"
