feature_layer	feature_name	bulk_evidence_category	single_cell_evidence_category	spatial_analysis_role	primary_or_secondary	spatial_coverage_required	formal_inference_allowed	exclusion_rule	notes
Hallmark	HALLMARK_PROTEIN_SECRETION	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	MALIGNANT_CELL_INTRINSIC_SUPPORT	PRIMARY_TARGET	PRIMARY	0.80	TRUE	coverage_below_80_percent	Primary spatial validation target. Malignant cell intrinsic support replicated in corrected Phase 9B2R.
Subtype_Axis	Moffitt50_contrast	EXTERNALLY_REPLICATED_HOST_FEATURE	REPLICATED_MALIGNANT_AXIS	PRIMARY_CONTEXTUAL_AXIS	PRIMARY	0.80	TRUE	coverage_below_80_percent	Primary contextual axis for continuous host transcriptomic state mapping.
Hallmark	HALLMARK_SPERMATOGENESIS	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	PRESPECIFIED_BIOLOGICAL_COMPARATOR	PRIMARY	0.80	TRUE	coverage_below_80_percent	Prespecified biological comparator; negative control pathway.
TF_regulon	ELF1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	SECONDARY_LOCALIZATION_TARGET	SECONDARY	0.80	TRUE	coverage_below_80_percent	Secondary localization target. Localized to stromal/immune compartment.
TF_regulon	MBD2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	SECONDARY_LOCALIZATION_TARGET	SECONDARY	0.80	TRUE	coverage_below_80_percent	Secondary localization target. Localized to stromal/immune compartment.
TF_regulon	ZBTB7A	EXTERNALLY_REPLICATED_HOST_FEATURE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	SECONDARY_LOCALIZATION_TARGET	SECONDARY	0.80	TRUE	coverage_below_80_percent	Secondary localization target. Localized to stromal/immune compartment.
TF_regulon	ZNF384	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	SECONDARY_LOCALIZATION_TARGET	SECONDARY	0.80	TRUE	coverage_below_80_percent	Secondary localization target. Localized to stromal/immune compartment.
TF_regulon	ZNF740	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	PARTIAL_CELLULAR_SUPPORT	SECONDARY_LOCALIZATION_TARGET	SECONDARY	0.80	TRUE	coverage_below_80_percent	Secondary localization target. Exhibits partial cellular compartment support.
WGCNA_module	MEblack	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	SPATIAL_SENSITIVITY_LAYER	SECONDARY	0.80	FALSE	coverage_below_80_percent	WGCNA module. Excluded in SC. Spatial inference blocked if spatial dataset-specific coverage < 80%.
WGCNA_module	MEblue	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	SPATIAL_SENSITIVITY_LAYER	SECONDARY	0.80	FALSE	coverage_below_80_percent	WGCNA module. Excluded in SC. Spatial inference blocked if spatial dataset-specific coverage < 80%.
