feature_name	feature_layer	eligible_cohorts	supported_cohorts	negative_controls_executed	outperforms_negative_controls	evidence_category	notes
"HALLMARK_PROTEIN_SECRETION"	"hallmark"	3	0	TRUE	FALSE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"HALLMARK_SPERMATOGENESIS"	"hallmark"	3	0	TRUE	FALSE	"PARTIALLY_REPLICATED_HOST_FEATURE"	"Classified under locked Phase 9A categories; low-coverage cohorts are not counted as failures."
"BHLHE40"	"tf_activity"	3	0	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"CTCFL"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"E2F6"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"ELF1"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"FOXK2"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"GFI1B"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"GRHL2"	"tf_activity"	3	1	FALSE	NA	"PARTIALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"IRF3"	"tf_activity"	2	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"JUNB"	"tf_activity"	3	2	FALSE	NA	"EXTERNALLY_REPLICATED_HOST_FEATURE"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
"KDM5B"	"tf_activity"	3	0	FALSE	NA	"NOT_REPLICATED"	"TF evidence categories are derived from the executed VIPER cohort statistics and compared with the locked Phase 9B1C2 audit."
