phase10br_rank	feature_name	feature_type	discovery_evidence	bulk_evidence	sc_evidence	spatial_evidence	derived_synthesis_category	cross_layer_evidence_score	positive_framework_points	penalty_points	target_priority_score	priority_decision	included_in_phase10br_scoring	scoring_source	reviewer_verification
1	HALLMARK_PROTEIN_SECRETION	PATHWAY_OR_PROCESS	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	MALIGNANT_CELL_INTRINSIC_SUPPORT	PARTIAL_SPATIAL_SUPPORT	MULTI_LAYER_SUPPORTED	10	5	0	5	RETAINED_AS_SUPPORTED_BIOLOGICAL_FEATURE_NOT_DIRECT_GENE_TARGET	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
2	BHLHE40	GENE_SYMBOL	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	9	3	-2	1	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
3	CTCFL	GENE_SYMBOL	ROBUST_HOST_MECHANISM	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	9	3	-2	1	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
4	HALLMARK_SPERMATOGENESIS	PATHWAY_OR_PROCESS	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	INSUFFICIENT_SPATIAL_DATA	PARTIALLY_REPLICATED	9	3	-2	1	NOT_PRIORITIZED_COMPOSITION_SENSITIVE_SINGLE_CELL_EVIDENCE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
5	Ochrobactrum	MICROBIAL_TAXON	ROBUST_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	DISCOVERY_ONLY	8	0	0	0	NOT_PRIORITIZED_DISCOVERY_ONLY_NO_CAUSAL_VALIDATION	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
6	Lysobacter	MICROBIAL_TAXON	METHOD_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	METHOD_SENSITIVE	7	0	0	0	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
7	Brevundimonas	MICROBIAL_TAXON	CONTAMINATION_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	CONTAMINATION_SENSITIVE	5	0	0	0	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
8	MEpurple	WGCNA_MODULE	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	4	0	0	0	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
9	MEred	WGCNA_MODULE	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	4	0	0	0	NOT_PRIORITIZED_NOT_EXTERNALLY_SUPPORTED	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
10	MEblack	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	3	0	0	0	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
11	MEblue	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	3	0	0	0	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
12	MEgreen	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	3	0	0	0	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
13	MEgreenyellow	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	3	0	0	0	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
14	MEtan	WGCNA_MODULE	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	3	0	0	0	NOT_PRIORITIZED_INELIGIBLE_INSUFFICIENT_DATA	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
15	Staphylococcus	MICROBIAL_TAXON	SUGGESTIVE_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	EXPLORATORY_ONLY	2	0	0	0	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
16	Paraburkholderia	MICROBIAL_TAXON	NO_SUPPORTED_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_SUPPORTED_ASSOCIATION	1	0	0	0	NOT_PRIORITIZED_LOCKED_EVIDENCE_WEAK_OR_SENSITIVE	True	05_results/tables/phase10a_cross_layer_evidence_inventory.tsv;05_results/tables/phase10a_target_prioritization_framework.tsv;01_metadata/phase10a_evidence_synthesis_parameter_inventory.tsv	VERIFIED_INCLUDED_AND_SCORED
