priority	dataset_id	accession	validation_layer	sample_count	data_type	primary_files	download_size	expected_gene_or_taxon_coverage	negative_controls_available	paired_host_microbiome	primary_validation_endpoints	key_limitations	recommended_action	status	notes
PRIORITY_1	TCGA_PAAD	TCGA-PAAD	Layer 1 - Bulk Host	178	Bulk RNA-seq	gdc_download_processed_expression_matrix.tsv, clinical.tsv	~150 MB (processed)	>99% of signature genes	no	yes (via Poore et al. extraction)	Moffitt50 axis contrast, Hallmark pathway ssGSEA, TF viper scores, WGCNA modules	Lack of physical normal controls (normal adjacent is rare); potential tumor-purity confounding	Download processed FPKM-UQ expression and clinical matrices first; calculate host scores and evaluate against clinical survival.	READY	Gold-standard cohort for host transcriptome validation.
PRIORITY_1	GSE71729	GSE71729	Layer 1 - Bulk Host	145	Bulk Microarray	GSE71729_series_matrix.txt.gz	~45 MB (processed)	>92% of signature genes	no	no	Moffitt50 continuous score, singscore, PurIST, survival correlation	Microarray dynamic range and custom probe mapping	Use processed GSE71729 series matrix; map probes; apply missing-gene policy.	READY	Moffitt discovery cohort; essential for subtyping consistency check.
PRIORITY_1	GSE62452	GSE62452	Layer 1 - Bulk Host	69	Bulk Microarray	GSE62452_series_matrix.txt.gz	~18 MB (processed)	>94% of signature genes	no	no	Moffitt50 continuous score, Hallmark pathway activities, survival correlation	Underpowered for clinical outcomes (n=69); microarray platform limitations	Use processed series matrix; map probes; run OLS with HC3 robust SE for tumor-vs-normal contrast.	READY	Includes 61 adjacent normal pancreas tissues for baseline host comparisons.
PRIORITY_1	PENG_CRA001160	CRA001160	Layer 2 - Single-Cell	24	Single-cell RNA-seq	CRA001160_processed_expression.h5ad	~450 MB (processed)	>95% of signature genes	no	no	Malignant epithelium basal-classical cellular localization	High sparsity of scRNA-seq, lack of spatial coordinates	Download processed H5AD; perform cell-level scoring and pseudobulk by patient.	READY	Foundational primary single-cell cohort representing Peng et al. (2019) 24 PDAC patients.
PRIORITY_1	HWANG_GSE202051	GSE202051	Layer 3 - Spatial	43	Spatial Transcriptomics	GSE202051_raw_spot_counts.tar.gz, spatial_coordinates.csv	~1.2 GB (processed spots)	>90% of signature genes	no	no	Spatial localization of basal-classical axis in tumor vs CAF compartments	Multicellular spots (10-30 cells per spot) in Visium; potential hybridization artifacts	Download spot expression matrices and coordinate files; perform spatial normalization.	READY	Large spatial transcriptomics dataset for 43 patients; dual single-nucleus data available.
PRIORITY_1	GSE274103	GSE274103	Layer 3 - Spatial	5	Spatial Transcriptomics	GSE274103_series_matrix.txt.gz	~150 MB	>90%	no	no	Spatial localization of host programs	Small patient count (n=5)	Download Visium matrices and map program activities spatially.	READY	10x Visium spatial transcriptome profiling of 5 primary PDAC patients.
PRIORITY_1	GSM3405527	GSM3405527	Layer 3 - Spatial	1	Spatial Transcriptomics	GSM3405527_series_matrix.txt.gz	~15 MB	>88%	no	no	Spatial co-localization of cell states	Only one patient tumor section	Load spatial section spot coordinates and map subtype scores.	READY	Pioneering spatial section associated with Moncada et al. (2020).
PRIORITY_1	PRJNA542615	PRJNA542615	Layer 4 - Microbiome	68	Tumor Microbiome (16S)	SRA raw FASTQ files	~8.5 GB (raw FASTQ)	genus Ochrobactrum	no	no	Ochrobactrum genus detection rate and survival association	Lack of sequenced negative controls; 16S sequencing limits resolution	Download raw reads; perform quality filtering; run Kraken2/Bracken; evaluate Ochrobactrum.	READY	Must be labeled CONTAMINATION_LIMITED due to absence of controls.
PRIORITY_1	EGAS00001004572	EGAS00001004572	Layer 4 - Microbiome	120	Tumor Microbiome (16S)	EGA raw fastq (controlled access)	~15 GB (raw FASTQ)	genus Ochrobactrum	yes	no	Ochrobactrum detection vs negative controls	Controlled access via EGA; slow data retrieval	Submit access request; download raw FASTQ; process with Kraken2; compare against controls.	READY	Gold-standard cohort for microbiome contamination validation due to extensive negative controls.
PRIORITY_2	LIN_GSE154778	GSE154778	Layer 2 - Single-Cell	10	Single-cell RNA-seq	GSE154778_dgeMtx.csv.gz, GSE154778_RAW.tar	~120 MB	>94% of signature genes	no	no	Malignant and stromal host feature validation	Small patient count (10 primary tumors), no clinical outcome	Download processed matrix; perform cell-level scoring and pseudobulk.	READY	Lin et al. (2020) single-cell cohort. Primary tumors analyzed separately.
PRIORITY_2	MONCADA_GSE111672	GSE111672	Layer 2 - Single-Cell	6	Single-cell RNA-seq	GSE111672_RAW.tar	~80 MB	>92%	no	no	Malignant and stromal cell validation	Small cohort size (6 patients)	Download processed matrix; perform cell-level scoring and pseudobulk.	READY	Secondary single-cell cohort associated with spatial sections.
