feature_name	discovery_evidence	bulk_evidence	sc_evidence	spatial_evidence	final_synthesis_category	notes
HALLMARK_PROTEIN_SECRETION	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	MALIGNANT_CELL_INTRINSIC_SUPPORT	PARTIAL_SPATIAL_SUPPORT	MULTI_LAYER_SUPPORTED	Malignant-compartment spatial enrichment. Basal-classical axis not replicated.
HALLMARK_SPERMATOGENESIS	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	INSUFFICIENT_SPATIAL_DATA	PARTIALLY_REPLICATED	
MEblack	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	Ineligible module.
MEblue	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	Ineligible module.
MEgreen	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	Ineligible module.
MEtan	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	Ineligible module.
MEgreenyellow	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	INSUFFICIENT_SINGLE_CELL_DATA	INSUFFICIENT_SPATIAL_DATA	INSUFFICIENT_DATA	Ineligible module.
MEpurple	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	
MEred	ROBUST_HOST_MECHANISM	NOT_REPLICATED	NOT_EVALUATED	NOT_EVALUATED	NOT_EXTERNALLY_SUPPORTED	
BHLHE40	ROBUST_HOST_MECHANISM	PARTIALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	
CTCFL	ROBUST_HOST_MECHANISM	EXTERNALLY_REPLICATED_HOST_FEATURE	CELL_COMPOSITION_EXPLAINED	NOT_EVALUATED	PARTIALLY_REPLICATED	
Ochrobactrum	ROBUST_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	DISCOVERY_ONLY	Only taxon with robust host-mechanism associations. Microbial presence/localization/interaction/causality not validated.
Staphylococcus	SUGGESTIVE_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	EXPLORATORY_ONLY	
Lysobacter	METHOD_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	METHOD_SENSITIVE	
Brevundimonas	CONTAMINATION_SENSITIVE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	CONTAMINATION_SENSITIVE	
Paraburkholderia	NO_SUPPORTED_ASSOCIATION	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO_SUPPORTED_ASSOCIATION	
