claim_id	manuscript_section	exact_claim_summary	supporting_phase	source_report_or_table	evidence_category	allowed_wording	prohibited_overstatement	current_compliance_status
CLAIM_01	2.4 Microbial Co-occurrence Associations with Host Transcriptional Signatures	Global community-level microbiome association with host state is reported as an associative co-occurrence signal.	Phase 7C	05_results/tables/phase11a_claim_evidence_map.tsv; 04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Supported	"microbial co-occurrence profiling"; "associated with host state"; "associative signals"	Microbial causality; causes; drives; induces; mediates; directional host-microbe mechanism	COMPLIANT
CLAIM_02	2.4 Microbial Co-occurrence Associations with Host Transcriptional Signatures	Nine robust genera are associated with host state, with eight rCLR-sensitive genera and Herbaspirillum contamination limitation disclosed.	Phase 7C	05_results/tables/phase11a_claim_evidence_map.tsv; 05_results/tables/phase11a_prohibited_claims.tsv	Supported	"nine genera classified as robustly associated"; "eight exhibited direction reversals or loss of statistical significance under rCLR"; "Herbaspirillum was flagged as a moderate-risk environmental contaminant"	Causal robust genera; unqualified robust microbiome biomarkers; omission of rCLR or contamination sensitivity	COMPLIANT
CLAIM_03	2.4 Microbial Co-occurrence Associations with Host Transcriptional Signatures	Ochrobactrum is associated with host transcriptional programmes but not established as causal, localized, or physically interacting.	Phase 8C	05_results/tables/phase11a_claim_evidence_map.tsv; 05_results/tables/phase11a_prohibited_claims.tsv	Supported	"Ochrobactrum relative abundance was positively associated"; "No causal relationship"; "spatial localisation...was not determined"; "No physical interaction"	Ochrobactrum causes host programmes; microbial localization; physical interaction with host cells	COMPLIANT
CLAIM_04	2.5 Regulatory Candidate Analysis and Transcription-Factor Programme Associations	Twelve TF activities externally replicated in bulk are part of the validation context, while TF expression proxies are not used.	Phase 9B1C2	05_results/tables/phase11a_claim_evidence_map.tsv; 04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Supported	"transcription-factor activity"; "externally replicated in bulk"; "activity scores"	TF expression proxy validation; unsupported TF expression substitution	COMPLIANT
CLAIM_05	2.3 Gene-Set Enrichment Analyses: HALLMARK_PROTEIN_SECRETION and Convergent Pathway Evidence	HALLMARK_PROTEIN_SECRETION has malignant-cell and malignant-compartment support, but the basal-classical spatial-axis claim is partial.	Phase 9B2C2; Phase 9B3C2	05_results/tables/phase11a_claim_evidence_map.tsv; 05_results/tables/phase9b3c2_evidence_category_audit.tsv	Supported	"malignant-cell evidence"; "malignant-compartment evidence"; "PARTIAL_SPATIAL_SUPPORT"	Full basal-classical spatial validation; definitive subtype-specific spatial patterning	COMPLIANT
CLAIM_06	2.3 Gene-Set Enrichment Analyses: HALLMARK_PROTEIN_SECRETION and Convergent Pathway Evidence	Spatial validation of the basal-classical axis is explicitly classified as PARTIAL_SPATIAL_SUPPORT.	Phase 9B3C2	05_results/tables/phase11a_claim_evidence_map.tsv; 05_results/tables/phase9b3c2_evidence_category_audit.tsv	Partially Supported	"spatial evidence...classified as PARTIAL_SPATIAL_SUPPORT"; "provisional pending higher-resolution spatial platforms"	Full spatial validation; complete spatial replication; resolved basal-classical spatial axis	COMPLIANT
CLAIM_07	2.3 Gene-Set Enrichment Analyses: HALLMARK_PROTEIN_SECRETION and Convergent Pathway Evidence	Seven pathways/modules are partially replicated in bulk and must remain framed as partial.	Phase 9B1C2	05_results/tables/phase11a_claim_evidence_map.tsv; 04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Partially Supported	"partially replicated"; "not observed for all candidate pathways evaluated"	Fully replicated across all cohorts; universal pathway replication	COMPLIANT
CLAIM_08	2.5 Regulatory Candidate Analysis and Transcription-Factor Programme Associations	Thirteen TF activities are only partially replicated in bulk.	Phase 9B1C2	05_results/tables/phase11a_claim_evidence_map.tsv; 04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Partially Supported	"13 transcription factor activities as only partially replicated"	Fully replicated TF programme; definitive TF target support	COMPLIANT
CLAIM_09	2.3 Gene-Set Enrichment Analyses: HALLMARK_PROTEIN_SECRETION and Convergent Pathway Evidence	HALLMARK_SPERMATOGENESIS failed bulk external replication and had insufficient spatial coverage.	Phase 9B1C2; Phase 9B3C2	05_results/tables/phase11a_claim_evidence_map.tsv; 05_results/tables/phase11a_prohibited_claims.tsv	Unsupported	"HALLMARK_SPERMATOGENESIS exhibited opposite directional effects"; "lacked sufficient spatial coverage (<80%)"	Promoted spermatogenesis programme; hidden null result; spatially supported spermatogenesis	COMPLIANT
CLAIM_10	2.3 Gene-Set Enrichment Analyses: HALLMARK_PROTEIN_SECRETION and Convergent Pathway Evidence	MEred and MEpurple WGCNA modules failed external bulk replication.	Phase 9B1C2	05_results/tables/phase11a_claim_evidence_map.tsv; 04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Unsupported	"WGCNA modules MEred and MEpurple...failed to replicate"	Promoted MEred or MEpurple; omission of WGCNA module replication failure	COMPLIANT
